region,job_count,avg_salary,min_salary,max_salary
United States,324,52357.0,11,750000
Atlanta,34,51357.0,16,500000
Austin,69,42428.0,17,248000
Washington,60,42161.0,15,200000
Dallas,43,40048.0,15,190000
Boston,45,39405.0,16,175000
Chicago,75,38460.0,16,200000
New York,161,38366.0,15,312000
Baltimore,37,33914.0,15,130000
Tampa,34,33139.0,15,173500
San Francisco,37,32770.0,21,167000
Madison,33,32228.0,10,105000
Charlotte,39,28893.0,16,140000
Phoenix,50,28395.0,14,206000
Houston,43,24410.0,12,150000
Orlando,46,22960.0,14,150000
Miami,36,22529.0,11,150000
Denver,55,22463.0,16,150000
Los Angeles,76,21278.0,17,125000
Portland,36,20397.0,14,250000
