company,city,country,total_jobs,avg_salary,total_applies,avg_views
Liberty Healthcare and Rehabilitation Services,Wilmington,US,1108,,0.0,4.0
The Job Network,New York,US,1003,1750.0,6.0,4.0
J. Galt,Indianapolis,US,604,0.0,34.0,3.0
TEKsystems,Hanover,US,529,960.0,88.0,5.0
"Lowe's Companies, Inc.",Mooresville,US,527,0.0,17.0,5.0
Ingersoll Rand,Davidson,US,517,103.0,40.0,5.0
Capital One,McLean,US,496,,132.0,6.0
Cogent Communications,Washington,US,476,0.0,113.0,6.0
Insight Global,Atlanta,US,418,2982.0,3454.0,34.0
Dice,Centennial,US,415,1655.0,189.0,7.0
Wells Fargo,San Francisco,US,388,0.0,75.0,6.0
Circle K,Laval,CA,381,4.0,15.0,6.0
Amazon,Seattle,US,343,0.0,293.0,14.0
Macy's,New York,US,333,0.0,61.0,6.0
"Millennium Recruiting, Inc.",Ridgefield Park,US,329,,26.0,3.0
Solomon Page,New York,US,326,1865.0,453.0,10.0
Apex Systems,Glen Allen,US,325,2361.0,1465.0,20.0
VolunteerMatch,Oakland,US,322,,2.0,5.0
CareerStaff Unlimited,Irving,US,319,371.0,3.0,3.0
SKF Group,Göteborg,SE,318,5.0,50.0,5.0
