industry,total_jobs,remote_jobs,remote_percentage
Computer Hardware Manufacturing,378,0,0.0
Software Development,4852,0,0.0
Computer Networking Products,99,0,0.0
"Technology, Information and Internet",1503,0,0.0
Semiconductor Manufacturing,496,0,0.0
Telecommunications,2074,0,0.0
Law Practice,1081,0,0.0
Legal Services,878,0,0.0
Business Consulting and Services,1784,0,0.0
Biotechnology Research,1955,0,0.0
Medical Practices,1222,0,0.0
Hospitals and Health Care,17762,0,0.0
Pharmaceutical Manufacturing,2403,0,0.0
Veterinary Services,415,0,0.0
Defense and Space Manufacturing,1446,0,0.0
